Sequence,PHYLUM,CLASS,ORDER,FAMILY,GENUS
S000385185,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
S000413603,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
S000413605,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes
S000000822,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
S000366462,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000395050,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000440546,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000626367,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000751081,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000825083,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000825084,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000825085,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000860544,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000901758,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia
S000428637,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Blastochloris
S000435895,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Blastochloris
S000386911,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Methylorhabdus
S000893696,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Maritalea
S000382389,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Prosthecomicrobium
S001328551,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Prosthecomicrobium
S001328552,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Prosthecomicrobium
S000967511,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Zhangella
S000776302,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
S000351833,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Angulomicrobium
S000351834,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Angulomicrobium
S000352292,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
S000352293,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
S000352294,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
S000352295,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
S000352296,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia
S000021715,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus
S000860618,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Chelatococcus
S000127710,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
S000146627,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
S000264333,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
S000020000,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocapsa
S000444593,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000548442,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000618280,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000618284,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000618285,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000618290,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000728000,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium
S000540592,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea
S000628776,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea
S000005350,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
S000007613,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
S000011492,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
S000012284,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
S000016010,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter
S000003134,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000013161,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000380772,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000413460,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000427998,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000428003,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000437056,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000447839,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000458751,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000458752,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000559204,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000711269,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000751806,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000751812,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000842729,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S001272302,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
S000018962,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aquamicrobium
S000020842,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Defluvibacter
S000020615,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudaminobacter
S000469034,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudaminobacter
S000461692,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Parvibaculum
S000432025,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor
S000964790,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor
S000966197,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor
S000365517,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
S000652696,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
S000776258,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
S000870473,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
S000018605,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia
S000627864,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia
S000871544,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia
S000371239,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000371240,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000414549,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000414698,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000652840,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000652841,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000652842,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000652843,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000721496,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
S000133471,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000438370,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000444301,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000446569,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000446572,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000485442,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000544665,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000650667,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000651084,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000775446,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000775447,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000870762,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000870777,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
S000413470,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Mycoplana
S000468980,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Mycoplana
S000623991,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
S000623992,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
S000701215,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Pseudochrobactrum
S000859920,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Daeguia
S000413736,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium
S000711252,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Rhodobium
S000019711,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Roseospirillum
S000413734,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella
S000891214,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Anderseniella
S000007789,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000334547,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000368128,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000430937,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000469010,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000469013,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000471776,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000471777,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000483600,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000539892,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000544284,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000544643,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000574692,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642025,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642032,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642034,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642038,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642040,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642041,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000642043,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000654175,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000768921,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000776520,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000776521,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000824980,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000925333,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000925427,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000925428,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000925429,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000925432,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000995259,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
S000388725,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Meganema
S001168611,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas
S001153406,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga
S000504762,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella
S000649805,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
S000728612,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
S000775301,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
S000806347,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aurantimonas
S000400145,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Fulvimarina
S000392906,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium
S000413446,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium
S000010644,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
S000401762,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
S000401763,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
S000434961,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
S000901904,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter
S000004814,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000393169,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000393170,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000752409,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000752410,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000752412,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter
S000537534,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
S000386311,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Starkeya
S000469033,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Starkeya
S000843244,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudoxanthobacter
S000351832,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000461375,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000627787,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000627788,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000627790,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000651637,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
S000650265,Proteobacteria,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Cohaesibacter
S000015397,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000334553,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000388701,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000392961,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000413800,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414651,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414655,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414656,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414664,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414665,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414666,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414667,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000414680,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000434918,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000436058,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000437122,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000437236,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000500280,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000651080,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
S000413795,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia
S000436977,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma
S000008866,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
S000014965,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
S000436654,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
S000437199,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
S000008134,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia
S000436051,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia
S000014472,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000127018,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000134051,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000134317,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000389731,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000428528,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000436037,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000469634,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000653829,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000751126,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
S000015591,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
S000428512,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
S000439510,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
S000017759,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000020603,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000131286,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000133753,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000387923,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000387924,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000387925,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000428520,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000428521,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000428522,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000607904,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000651067,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
S000105822,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia
S000539474,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Malikia
S000413519,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas
S001019568,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
S000021263,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
S000603880,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
S000651727,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
S000941609,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
S000387155,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000428524,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000428525,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000428526,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000428527,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000471102,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000471103,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000649815,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000859919,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
S000399364,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
S000437168,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
S000531418,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
S000559080,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
S000902981,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
S000010699,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
S000146281,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia
S000005441,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira
S000428511,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira
S000649819,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira
S000384594,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria
S000384597,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria
S000428510,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria
S000610618,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria
S000610620,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Giesbergeria
S000650862,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
S000650864,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
S002287484,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
S002287898,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
S000015214,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas
S000964798,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas
S000964802,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas
S000638909,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter
S000390657,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus
S000388105,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
S000394160,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
S000468017,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caldimonas
S001093235,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caldimonas
S000106516,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Macromonas
S000843442,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pseudacidovorax
S000647570,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas
S000114995,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus
S000264515,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia
S000263441,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia
